DateNum,IndoorT,IndoorH,Outdoor T,OutdoorH,WindChill,HeatIndex,DewPoint,Pressure,Winddirection,WindCurrent,WindPeak,WindAverage,Rainfall_mmm 
42103.58 ,23.8,30,21.4,39,21.7,24.4,6.1,1008,180,8,13,7,34.8
42103.59 ,23.9,30,21,39,21.1,24.4,6.1,1008,180,6,13,6,34.8
42103.09 ,24,29,22.4,34,22.2,24.4,5,1008,180,5,13,5,34.8
42102.94 ,23.9,28,21.8,34,21.7,24.4,5,1008,180,8,13,10,34.8
42102.69 ,24,28,22.3,35,22.2,24.4,5.6,1007,180,3,13,6,34.8
42102.45 ,24,28,22.6,34,22.8,24.4,6.1,1007,180,3,13,4,34.8
42102.21 ,23.9,29,22.4,35,22.2,24.4,5.6,1007,180,5,13,5,34.8
42101.97 ,23.9,28,22.3,35,22.2,24.4,5.6,1007,180,10,13,6,34.8
42101.73 ,23.9,28,22.4,34,22.2,24.4,5,1007,180,6,13,7,34.8
42101.49 ,23.8,28,20.8,34,20.6,24.4,4.4,1007,180,9,12,6,34.8
42101.24 ,23.7,27,20.6,36,20.6,24.4,5,1007,180,5,12,6,34.8
42101.00 ,23.7,27,21.5,35,21.7,24.4,5.6,1007,180,8,14,5,34.8
42100.76 ,23.7,28,21.4,39,21.7,24.4,6.1,1007,180,3,14,4,34.8
42100.52 ,23.8,29,20.6,41,20.6,25,7.2,1007,180,4,14,5,34.8
42100.28 ,23.7,29,20.4,41,20.6,25,6.1,1007,180,4,14,6,34.8
42100.04 ,23.7,30,20.7,41,20.6,25,7.2,1007,180,3,14,5,34.8
42099.79 ,23.6,30,20.5,42,20.6,25,7.2,1007,180,6,11,5,34.8
42099.55 ,23.6,30,20.1,42,20,25,6.7,1007,180,3,10,6,34.8
42099.31 ,23.6,30,19.3,44,19.4,25,6.1,1007,180,5,12,5,34.8
42099.07 ,23.6,30,19.5,45,19.4,25,7.2,1007,180,4,12,4,34.8
42098.83 ,23.5,30,18.5,48,18.3,25.6,7.2,1007,180,3,12,6,34.8
42098.59 ,23.4,30,18.4,45,18.3,25.6,5.6,1007,180,3,12,3,34.8
42098.34 ,23.3,30,18.1,46,18.3,25.6,6.1,1007,180,3,12,3,34.8
42098.10 ,23.2,30,18.9,47,18.9,25.6,7.2,1007,180,4,9,2,34.8
42097.86 ,23.3,31,17.8,51,17.8,17.8,7.2,1007,315,3,9,4,34.8
42097.62 ,23.2,31,16.6,51,16.7,16.7,6.7,1007,315,3,9,3,34.8
42097.38 ,23.1,30,15.8,51,15.6,15.6,5.6,1007,315,3,8,4,34.8
42097.14 ,23.1,30,15.4,52,15.6,15.6,5,1007,315,3,7,3,34.8
42096.89 ,23.1,29,14.9,51,15,15,4.4,1007,315,0,7,0,34.8
42096.65 ,23.2,30,14.3,56,14.4,14.4,5,1007,315,0,7,0,34.8
42096.41 ,23.2,30,13.7,58,13.9,13.9,5.6,1007,315,0,7,1,34.8
42096.17 ,23.2,30,13.4,65,13.3,13.3,6.1,1007,315,3,6,3,34.8
42095.93 ,23.2,31,13,70,12.8,12.8,7.2,1007,315,2,6,1,34.8
42095.69 ,23.1,32,12.7,73,12.8,12.8,7.8,1007,315,3,6,2,34.8
42095.44 ,23.1,32,12.5,74,12.8,12.8,8.3,1007,315,0,6,2,34.8
42095.20 ,23.1,32,12,72,12.2,12.2,6.7,1007,315,0,6,0,34.8
42094.96 ,22.8,32,11.9,73,11.7,11.7,7.2,1007,315,3,5,3,34.8
42094.72 ,22.6,32,12.2,71,12.2,12.2,6.7,1007,315,3,5,3,34.8
42094.48 ,22.5,32,11.9,71,11.7,11.7,6.7,1008,315,4,5,3,34.8
42094.24 ,22.5,32,11.9,72,11.7,11.7,6.7,1008,315,4,5,4,34.8
42093.99 ,22.4,34,11.7,72,11.7,11.7,6.7,1008,315,3,5,3,34.8
42093.75 ,22.4,34,11.6,72,11.7,11.7,6.7,1008,315,3,5,3,34.8
42093.51 ,22.4,34,11.4,72,11.7,11.7,6.1,1008,315,0,4,2,34.8
42093.27 ,22.4,34,11.2,73,11.1,11.1,6.1,1008,315,3,4,3,34.8
42093.03 ,22.4,34,11.1,74,11.1,11.1,6.1,1008,315,3,4,3,34.8
42092.79 ,22.4,34,11.1,74,11.1,11.1,6.1,1008,315,3,4,3,34.8
42092.54 ,22.4,34,11.1,74,11.1,11.1,6.1,1008,315,3,4,3,34.8
42092.30 ,22.3,34,10.9,74,11.1,11.1,6.1,1008,315,0,4,1,34.8
42092.06 ,22.3,34,10.6,75,10.6,10.6,6.7,1008,315,3,4,3,34.8
42091.82 ,22.3,34,10.5,75,10.6,10.6,6.7,1008,315,0,4,1,34.8
42091.58 ,22.2,34,10.1,76,10,10,5.6,1008,315,0,4,0,34.8
42091.34 ,22.3,34,9.7,78,10,10,6.1,1008,315,0,3,0,34.8
42091.09 ,22.2,33,9.6,78,9.4,9.4,6.1,1008,315,3,4,3,34.8
42090.85 ,22.2,33,9.6,78,9.4,9.4,6.1,1008,315,3,4,3,34.8
42090.61 ,22.2,33,9.8,75,10,10,5.6,1008,315,3,5,3,34.8
42090.37 ,22.3,33,9.8,75,10,10,5.6,1008,315,3,5,3,34.8
42090.13 ,22.2,33,9.4,76,9.4,9.4,4.4,1008,315,3,5,1,34.8
42089.89 ,22.2,32,9.1,76,8.9,8.9,4.4,1008,315,0,5,0,34.8
42089.64 ,22.2,32,8.7,77,8.9,8.9,5,1008,315,0,5,0,34.8
42089.40 ,22.1,32,8.5,77,8.3,8.3,5,1008,315,0,3,0,34.8
42089.16 ,22.1,32,8.3,77,8.3,8.3,3.9,1008,315,0,4,0,34.8
42088.92 ,22.2,32,8.1,78,8.3,8.3,3.9,1008,315,3,4,3,34.8
42088.68 ,22.1,31,8.3,76,8.3,8.3,3.9,1008,315,2,4,3,34.8
42088.44 ,22.1,31,8.3,76,8.3,8.3,3.9,1008,315,2,4,3,34.8
42088.19 ,22,31,8.1,76,8.3,8.3,3.9,1008,315,0,4,1,34.8
42087.95 ,22.1,31,8.1,77,8.3,8.3,3.9,1008,315,4,4,4,34.8
