Hours_Ago:,SW_Small,SW_Large,NE_Small,NE_Large,Difference_in_Small,Difference_in_Large
42110.55,156,26,118,13,38,13
42110.51,146,23,119,14,27,9
42110.47,114,18,95,10,19,8
42110.43,101,15,79,7,22,8
42110.39,82,7,78,6,4,1
42110.35,68,5,66,5,2,0
42110.31,68,5,63,4,5,1
42110.27,67,5,62,5,5,0
42110.23,75,6,67,6,8,0
42110.19,411,7,251,6,160,1
42110.15,378,7,323,7,55,0
42110.11,159,3,161,4,-2,-1
42110.07,222,4,184,4,38,0
42110.03,366,7,293,6,73,1
42109.99,468,9,417,10,51,-1
42109.95,365,6,328,7,37,-1
42109.91,527,10,436,9,91,1
42109.87,690,15,532,13,158,2
42109.83,489,12,462,11,27,1
42109.79,425,10,385,9,40,1
42109.75,344,9,388,9,-44,0
42109.71,262,9,295,8,-33,1
42109.67,129,8,109,6,20,2
42109.63,76,9,65,4,11,5
42109.55,258,7,224,6,34,1
42108.55,377,8,343,8,34,0
42107.55,681,19,607,18,74,1
42106.55,979,33,911,33,68,0
42105.55,305,7,282,7,23,0
42104.55,263,10,249,11,14,-1
42103.55,150,5,141,5,9,0
